項次,新聞標題,新聞發布日期,正確原文連結,媒體來源,趨勢標籤,新聞摘要
11,AI淨零／達明：AI協作機器人導入廣達德國車用生產線 | 證券 - cna.com.tw,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiXkFVX3lxTE54N0lKUGw1M3JLcUpyVzhvYWR6V1VhOF8wdjNYN3VoeldGSnp6VWhUc2JNS1ltVDk2YmVxOGltQ2JLeGVPWUpCQjZCdFhXWkhMM3FfT2hOVkZOT2dmTHc?oc=5,cna.com.tw (via Google News),智慧製造與工業 AI,AI淨零／達明：AI協作機器人導入廣達德國車用生產線 | 證券  cna.com.tw
12,美光與通用汽車簽長期供應協議 強化車用晶片供應鏈 - news.cnyes.com,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5KTDRWcXZtZnFLUW40TXkzUThRMXdjNFB3NEpDakJyN0puNnhwQnVpUTJYejlmRmRzYVZCUlQ3M21oUnc0UElSYXhpTEw2YTQ?oc=5,news.cnyes.com (via Google News),"智慧製造與工業 AI, 供應鏈韌性與物流自動化, Chips & Hardware / 晶片與算力",美光與通用汽車簽長期供應協議 強化車用晶片供應鏈  news.cnyes.com
13,Commercial real-estate sales booming in Q2: Savills - Taipei Times,2026-07-01 07:00,https://news.google.com/rss/articles/CBMidkFVX3lxTE1pZ2RUaHJxaVBGZW5XTE1mV1dLcllMU3FnNTMtdDVoLW1PNEk1LW9DeE5qZjdIZVBEZWk1SDI0ajRTeWcwWlF1Vnl6MkJXOGdKWUNLOUVKa0s3VmpoMHVxVHB5OEJZTTdTTEpkcVV0QkpWRFdocUE?oc=5,Taipei Times (via Google News),Enterprise & ROI / 企業應用與效益,Commercial real-estate sales booming in Q2: Savills  Taipei Times
14,An agentic artificially intelligent X-ray scientist - Nature,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBibFdSaHlQODgybkYwVUhGQVN1Q1hPcTZjM0xEcDA3c0NTU0RyTVlOVV9Ja0wydG5pMFRVUmlFZGZmZkt4bnA3R0poQmFnclY1UnhDeDB2RWVkNjhxZmVj?oc=5,Nature (via Google News),"Agentic AI / 代理式 AI, Chips & Hardware / 晶片與算力",An agentic artificially intelligent X-ray scientist  Nature
15,"Anthropic Unveils ‘Claude Science’ AI Research Platform, Aiming to Compress a Decade of Progress into a Year - finance.biggo.com",2026-07-01 07:00,https://news.google.com/rss/articles/CBMidkFVX3lxTE50ejNNdjgyNVdhZ0I3bEFTMm1TMVpGNG5jSDQ4X1hLV0hrbE5ldFhRaDdoTmhlcVZUeUhITjYxTElXNkYzTlF6NS1LMU5RX0MzSDE0a2U5SXJPWmg0MmphVzBHZnpOd0xmdkJzYWx6U2dQSTZWM1E?oc=5,finance.biggo.com (via Google News),"研發與創新, LLMs & Reasoning / 大語言模型與推理","Anthropic Unveils ‘Claude Science’ AI Research Platform, Aiming to Compress a Decade of Progress into a Year  finance.biggo.com"
16,Early look at Anthropic's Claude Science app for researchers - TestingCatalog AI News,2026-07-01 07:00,https://news.google.com/rss/articles/CBMilgFBVV95cUxNbjlOYmFuUUVjV29oZWV1NmlmUjN6ejJDRUY3blpMdGJ6UmdnZ3J1aG4xb05pMmI1eVpOSmNKdUE5TldkdVdQSzBXLVhUQU1TaUp6ZGhyX2YzYS0wcFVWQ21BUUZBZXgwbERzNmRsZ3o3M0FJSklMblZRXzhUNXQyUC1sWU5TU3N6NlNqXzVWZWNOOTNlMEE?oc=5,TestingCatalog AI News (via Google News),"研發與創新, LLMs & Reasoning / 大語言模型與推理",Early look at Anthropic's Claude Science app for researchers  TestingCatalog AI News
17,Best AI Chatbots of 2026 - CNET,2026-07-01 07:00,https://news.google.com/rss/articles/CBMic0FVX3lxTE5jZW1qZFZhN0QxOVFjZ3g5MC1qUFNkbTFNeWtFaW4xVWQwTUlTMmlXN0tfZTB3cnJXSUoweFFpdHM5dElxa283SThhVUNDTThpNkd6dzZHQmhDaXVpenpfTURxWGJXTGNVWmZzT0NSLVY1Zms?oc=5,CNET (via Google News),Enterprise & ROI / 企業應用與效益,Best AI Chatbots of 2026  CNET
18,Indian IT firms ramp up acquisitions as AI reshapes growth - Nikkei Asia,2026-07-01 07:00,https://news.google.com/rss/articles/CBMipAFBVV95cUxObVU3N3J2OUJQZWNjd1ZBZHBRLUdyTHUyS0tIdnlGNGxXN25sQ1ozbzl4ZXdaZlYtNm1uSWZPMUJSYVM3Vm1HSVBxcmNJY0RuUW1KTGdBQ2ZfSUQwTG5heTJPTUltaDBTZTFHeFFfTHR5NzJ3SGdMU0dKQlhFMWtWcURmYnoteUVvSGozSksweVNITkZtMktqeWJvekNaVHhFVC1mdQ?oc=5,Nikkei Asia (via Google News),Enterprise & ROI / 企業應用與效益,Indian IT firms ramp up acquisitions as AI reshapes growth  Nikkei Asia
19,"Tracking Cathie Wood: Doubling Down on AI-Biotech and Crypto, Retreating From Genomics and China Tech - Moomoo",2026-07-01 07:00,https://news.google.com/rss/articles/CBMisgFBVV95cUxPQ2ZWdzJ1WTdfX2ZKZGswdDNEMllZNFRoUm92UWRsc1RrbnJmekhCa2V0QmFmcHF0QmJza3BjWGhCdHozODUyMk85WVZQNmlNOEx3N3R1cmI0aDY5T1dNSG9wb2ItSVQ3MTFqLUVuaEpZWk5FLTk3eHUtQmJLN3U0Vm5fUERXRnhIdmh6U2ViekhFZTlBMG8yUUs4MzdpX1Nhc1E5eG1SaWxqR2JsN1RZMkRn?oc=5,Moomoo (via Google News),Enterprise & ROI / 企業應用與效益,"Tracking Cathie Wood: Doubling Down on AI-Biotech and Crypto, Retreating From Genomics and China Tech  Moomoo"
20,Abu Dhabi’s MGX raises $49 billion for one of the biggest ever AI funds - TradingView,2026-07-01 07:00,https://news.google.com/rss/articles/CBMizAFBVV95cUxOYWVraEhaa3ZSTFp2VThQcl9mdHZPaWZoZXVvVEVta3daRFVsQjdGNmRLcDRrdm5LbGZucDF5SllmTWxVNnktSDNfckk5bWxaMDVPdzJicDlTSGxjd2NZaU1RcFdrUUw2UVB2TzVaV19GSlpmS0ItSTdrYU1xcUs1UDNmeXZtR3dpVjBjbnZQNnlBN1l1R2x0dTBuTUNwZG40Q0RVX1RUNXdZU3Qza1dTQlJHdmlwSUc0SlRKVDFIblBZYUZtZmZrRU9CNFA?oc=5,TradingView (via Google News),Enterprise & ROI / 企業應用與效益,Abu Dhabi’s MGX raises $49 billion for one of the biggest ever AI funds  TradingView
21,華爾街日報》數學界著名世紀難題被AI破解 | 華爾街日報 | 新聞 - 風傳媒,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9TNWdNY1A4ckVqMWRPTkYyX3RxU0RISDFxVy1LRnVaLVIzOFVfSTRodHd6cTh2VkdYb0hNV1JfUWwzeXAwNk03SjhTdHJQUQ?oc=5,風傳媒 (via Google News),Enterprise & ROI / 企業應用與效益,華爾街日報》數學界著名世紀難題被AI破解 | 華爾街日報 | 新聞  風傳媒
22,BMW攜手Figure AI加速「Physical AI」布局，Figure 03機器人進駐美國工廠 - 地球黃金線,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiTEFVX3lxTE1IMHQ1bVpPMHV6SnkzWHF0RXBTSU8zTW5uS1h4Q3NJenpaN0NIWUpGTlR0eERJc2MxbzJSQVlMdHpmbVl5ZTdsYmJUTFQ?oc=5,地球黃金線 (via Google News),智慧製造與工業 AI,BMW攜手Figure AI加速「Physical AI」布局，Figure 03機器人進駐美國工廠  地球黃金線
23,The future is now: College of Computing & Artificial Intelligence officially launches - UW–Madison News,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPeFk3N2hnN0d4MHo5bmFJUW9NMm92WERQYThJR1RERm5NMXQtTkJKRkl4UW5LMHlSanNTYkVhN045RGFndmVCMEhEcEQ2cEh4RHZ0aTNVM2ZPcjdFbDFJYnhsbzEwV1dVbFQ3VGVfNzNSVF9HMWxwSk9uZlVNdlBtZEcxRjhkOVFfU05UaHRvSFVoT0stOHNLZnlHUHJJNnI2b1VyNTJWMmQ?oc=5,UW–Madison News (via Google News),Chips & Hardware / 晶片與算力,The future is now: College of Computing & Artificial Intelligence officially launches  UW–Madison News
24,Manufacturing business sentiment in May highest since March 2025|English News - 僑新聞,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiS0FVX3lxTE11b0lPeWdNeHVvZWJOdlE2Ung1ajV4Q0dHQmFpdUxvU0Y5R0FvelF0VVJFYlY4R3dZTDMtNU93cEU0VjVrTEdsRTRxUQ?oc=5,僑新聞 (via Google News),"智慧製造與工業 AI, Sovereign AI & Policy / 主權 AI 與法規, Enterprise & ROI / 企業應用與效益",Manufacturing business sentiment in May highest since March 2025|English News  僑新聞
25,Manufacturing business sentiment in May highest since March 2025: TIER - Taipei Times,2026-07-01 07:00,https://news.google.com/rss/articles/CBMidkFVX3lxTFBHendOY3Qxdm1LcFlJT05Nekw5c0t4S0xFd3ktX1lTNXhfLTJTNHZMMkQ5cUF5SUx0X242TUd6Z0RxbkNGaTNCamVaNFluaW9JUm4zVnZLUzhWeEt1MzdvWWxBdGdMWTJiUWo5R0d1R0ZzQ2xHMFE?oc=5,Taipei Times (via Google News),"智慧製造與工業 AI, Sovereign AI & Policy / 主權 AI 與法規, Enterprise & ROI / 企業應用與效益",Manufacturing business sentiment in May highest since March 2025: TIER  Taipei Times
26,"Semiconductor Equipment Market Size, Share & Growth, 2034 - Market Data Forecast",2026-07-01 07:00,https://news.google.com/rss/articles/CBMihwFBVV95cUxOYTdRU3Z0Wmtkd0ZfT0lkcG1qTGQ0TXJkMmwyeEpPU3lNYWdTTEFLUmVQU3ZfbUZzdGt6aHFNaVZRNEhGNURLM2RSbXpWODN3cFNndGI3anpHTjVGMEp2em55UW11UnA1NF9IM2ZUN0xZQXVIR2tiLU5JbUoyTEZLZm1KVUtRalE?oc=5,Market Data Forecast (via Google News),"智慧製造與工業 AI, Chips & Hardware / 晶片與算力","Semiconductor Equipment Market Size, Share & Growth, 2034  Market Data Forecast"
27,Vertiv opens Johor plant to meet AI demand in Asia - DataCenterNews Asia Pacific,2026-07-01 07:00,https://news.google.com/rss/articles/CBMijAFBVV95cUxPY2Z3cmU2TS1Bakg4SzA2MkNIRjMyazNCVjA4VVhWdHFRM3RxMk40VVQ4bkJYMGhfaGRlNkozay1qaWRPT1FZaUo3bl9SU3k4c3JZdU0wVkxTUmRsWmVFQzJ2TDBWckFDZ0NvaTYzMGZLbkV0eFY2cElYU2JzMTFwWmVRUV9waDJleXkxVw?oc=5,DataCenterNews Asia Pacific (via Google News),Enterprise & ROI / 企業應用與效益,Vertiv opens Johor plant to meet AI demand in Asia  DataCenterNews Asia Pacific
28,Compare Google Dialogflow and Its Competitors - AIMultiple,2026-07-01 07:00,https://news.google.com/rss/articles/CBMiSEFVX3lxTFBwRVplYnNxLXZxSVRZM29Wc2NMOG5WWFl4b1ZVNmtoYnh1WkRPRlllVDQtNnk4TXAzX0pmeXBRYzkyQTNjV3ZMMQ?oc=5,AIMultiple (via Google News),Enterprise & ROI / 企業應用與效益,Compare Google Dialogflow and Its Competitors  AIMultiple
29,"Anthropic joins AI race in healthcare with drug discovery program: What it is, everything else to know - India Today",2026-07-01 07:00,https://news.google.com/rss/articles/CBMixAFBVV95cUxPUXQzelYtZ1c2OVZmZ2Q0Z2ZrbzdhNGFXajU5cXl3TG5rS1g1RVlPZ0Y2akU0OWNjWndTbUZUTkIxUXJKNWxiRzVoSFdhSnUyRVBrVVdIWUtUUFdBOGhUM05XOFRNOWtBYzVUSFc3UlJrRVFjU0UxdUtVeFRrVlRPNGlJUnNRdVZybnUxSnJ6akpEaHhqeFRDUkR0SWtieUtsdjdBTXJhdTU0UFNCLTJFT1d4WF8wQ29TLURPNk5rZnZTSEow0gHKAUFVX3lxTFBmVUVtd1QtS0ZkbEx4X29RbG1UTW5BSmxibmQtVmZsSml4NGVwZkhJaFRhUGp2bXNVVktFWThpcTN6T25qUWlDYXp5Uk8zWGRENUJoM05DUHI5dV9DejRzQ0g2UnRpMzFIeFY3dFJtay1qM254Zm9SUlRDT3lDSVJjendDN2FJWHZSTUVLcnhUVXZzZ24yUkJjYmo5U1ZHVjduVDBTeHBkTU1FWjZVcWNKbXpQMnJjc01Gb2hGSEEtNmFaeWs1MS1zRFE?oc=5,India Today (via Google News),研發與創新,"Anthropic joins AI race in healthcare with drug discovery program: What it is, everything else to know  India Today"
30,IBM webMethods Hybrid Integration: From connectivity to control in the AI era - IBM,2026-07-01 07:00,https://news.google.com/rss/articles/CBMitAFBVV95cUxQSmhGUXpiZjVEN3dNcmR0eXluenZwMHp4UkR4UUMzbUdLUFpnZ0Z0b3NWM1Naa2FVOTM3TkRFNDhZbTR0anpxdzNyNmt3elA4cE1ZektxQlptcGdKRXRQVHFuRS1LSHRVZkFuUU80VjNiSUFJWGRsZ3VsT01veTB2aEp2RHo1aTlFTTVMVkJQVmdjM3FMZDRGMnVMelZRUXA3SnBtWVF6OFNLQU5kYnRTZVpoS1I?oc=5,IBM (via Google News),Enterprise & ROI / 企業應用與效益,IBM webMethods Hybrid Integration: From connectivity to control in the AI era  IBM
31,"A framework for operational autonomy: Integrating CloudOps, FinOps and AIOps - cio.com",2026-07-01 07:00,https://news.google.com/rss/articles/CBMitgFBVV95cUxNUTZDemJNNzljWGo2NkNkbHpBaENFWWpjbExLOElEYkJVc1N5Y29DMXlpMlNleDNqSjdRdVF0U3VFeG9KNERDVnkyOEkzVm41a2NBcW53dnVOd2lPaWZYZ1hjUkZzaERyOHVHam9aRzlHSV9SeHBDVEFsWl9PWWNnZXMwdjk0S0o2ZjMzZ0h5MTZFelM3dWhqWFBFT0FlZUJsLUtNbWRjdWRaY3FUYk1pYXdYVWJJdw?oc=5,cio.com (via Google News),Enterprise & ROI / 企業應用與效益,"A framework for operational autonomy: Integrating CloudOps, FinOps and AIOps  cio.com"
32,NVIDIA 推營收分潤新模式，攜雲端夥伴擴建 AI 工廠 - TechNews 科技新報,2026-07-02 07:00,https://news.google.com/rss/articles/CBMiogFBVV95cUxPMmxaTlREWnVoUkZvQWRfZnpDa1RycFVpUEtNU0tBMjJtaHhWVUR1SjNXNG9YWnhUajAzcWhVMnJVNWgycHFzWmY4Y083RHZqTVJ2eVc2dkppMzNjaHU3MVJOX29xZ3dLSHVsMnlNZkpyemo0dVFXeGN5QWt5alRUTzg3elc2VVM2SzhRbGJuRkVOX1ZDaDBJLW5KWDJyOW5HZVE?oc=5,TechNews 科技新報 (via Google News),"智慧製造與工業 AI, Chips & Hardware / 晶片與算力",NVIDIA 推營收分潤新模式，攜雲端夥伴擴建 AI 工廠  TechNews 科技新報
33,中國AI模型GLM-5.2低成本挑戰美國巨頭 數據安全遭歐美市場質疑 - RFI,2026-07-02 07:00,https://news.google.com/rss/articles/CBMijANBVV95cUxNaUZvZmx0U29TOFY0VnREaFR1MTBPbzV0YjFHbFluTnpLNVhoY0pXQ3dCcV9FTmVNUl9uM01CMFQtdWVHaVhjSVF3TnlkeXozZ3lNandNd3FKNGJEYU9HZG1hNXFIWnplSzJDX0taeUJRUUljZHBBOTRTb2pIZ21jU3Yxc3BJNTR2NDdPaGRSYW91WVVDUV9sRWdRaEFsRzZ0b3g2UFNxQ1BNTkNLVnIxWVhRQkQ5NWZUQ2l2V2hsZzc4enFGMlFlSVhVbl9vdU1uWmF4cV9uRWdOTm1BUmU5bjdLcXpnelJOY2ZlUDdIckJtam5TdFZrVFVhX1VLREQ3R2RtZlZvaUZFOGlqdDlPdlk0R0lFWjZyeWprZ0ptdFJrSVBLLUoxRk1GOXFTUWZrcjVDdS1tamptWmVnQ2QyZ01JT1FacEJmcjQtdVpGaGRZMGZ3ZGgyWFY0UnBBR2xxUlZFWWNQRThIcFFYZ0tJcjVsX2xYMUJOUEdWeDFrYWhSOGZHSXdYcUlaMGg?oc=5,RFI (via Google News),"研發與創新, Sovereign AI & Policy / 主權 AI 與法規",中國AI模型GLM-5.2低成本挑戰美國巨頭 數據安全遭歐美市場質疑  RFI
34,創新平台／讓塑膠農膜分解 大突破 - 經濟日報,2026-07-02 07:00,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5fR2p0U1BXUzNWNFBPdmdKZGlLUlY3dlUzemtMVmx2VlIxWFpRazRfSXF5TkZqUW44eTNJcnE0dml6Y3kyWDlzOUF6QmJ0R2NuQlFndERWTzhwRTZM0gFiQVVfeXFMTjRUektsZS1jQXRNYVo0M3V2Q2huSzE5TEhQR250cEtNQXJDSXhhREdrUkdWS3pHME50OU9teXc3WHhSLTR6RDc4NzVKVmkxTGlfRFdNZ3hQWnhZZnJtdTdlWHc?oc=5,經濟日報 (via Google News),研發與創新,創新平台／讓塑膠農膜分解 大突破  經濟日報
35,上游原料事件凸顯供應鏈治理新課題 福壽實業以AI智慧製造打造食安競爭力 - 蕃新聞,2026-07-02 07:00,https://news.google.com/rss/articles/CBMiUkFVX3lxTE50dzZ4N3RtQzAtb09wR19wTEZyQXd5d3hwcFFaZ1ctX1YtZGdVZG0yR0lCOWdSal9uUXJhQjNUdk1qYjU5c3BnZVgxWWZpdEk5aGc?oc=5,蕃新聞 (via Google News),"智慧製造與工業 AI, 供應鏈韌性與物流自動化",上游原料事件凸顯供應鏈治理新課題 福壽實業以AI智慧製造打造食安競爭力  蕃新聞
36,Asahi Kasei to build Taiwan processing plant for AI chip material - Nikkei Asia,2026-07-02 07:00,https://news.google.com/rss/articles/CBMiugFBVV95cUxNM1pYSExjLU9HR1BzVk5CMVduWmlobEZzOWpUcWpCNmJtcFM0YzVKb2dSWHFCanNLRUxhNHhOYmpQVTFSTEJZMjZvTVpibWY2SVFITkdoMEM4VzVSUkhqRzF2SUJpTFZlTDVRNWFJd1N6Si1xbzRwUTA4V1A4bDhvWnhlUnI4WDF5UE9udmYyOWR6TlE1TTdkZWo4WWoxeEJDYXItNENkNWUzbnh0SFhJQzdNV0VHcE1uUFE?oc=5,Nikkei Asia (via Google News),"智慧製造與工業 AI, Chips & Hardware / 晶片與算力",Asahi Kasei to build Taiwan processing plant for AI chip material  Nikkei Asia
37,Factory activity remains booming - Taipei Times,2026-07-02 07:00,https://news.google.com/rss/articles/CBMidkFVX3lxTE9TdGRlNnBaVHllYjhyYnhGbzNmd3JwclppaUNQd0txUTg2QWtnY3M4aXIxWTlobXRkaWkxekFyVFNHSXJuRmpPVFZBS2w2dFJDOGhOdUJkcHBPM2szZ29qM2M5ZklRUTlwNEdjLUlpaVptTEY3bHc?oc=5,Taipei Times (via Google News),"智慧製造與工業 AI, Sovereign AI & Policy / 主權 AI 與法規",Factory activity remains booming  Taipei Times
38,Singapore factory activity stays in growth mode despite simmering supply constraints - straitstimes.com,2026-07-02 07:00,https://news.google.com/rss/articles/CBMivwFBVV95cUxOcXdiRmZ1bS1vTm9RWW9GeE9TbWczRUFGQlZkNUU2empGV2RJdHdvOGlnSVpGTFRXLWRSR2w4OVFmcXpDaF9DVXJLRFRSeVdFX1Y1OFdxWDI4eWF2UllvZ2pJZExlRkdtRGFmb3VOUUNpanBEdEZTYUZpNlRpQXpJT0RWT1VvekhjaU9sNjF3LVdaemlBTzJpazNKYjRJN1puMG9BM0Z3M3RXWWJRSzk3T2pQdWNXa3ppZDl2Q2tJWQ?oc=5,straitstimes.com (via Google News),"智慧製造與工業 AI, Sovereign AI & Policy / 主權 AI 與法規",Singapore factory activity stays in growth mode despite simmering supply constraints  straitstimes.com
39,影音》中山大學聯手高雄長庚 2600床醫療導入AI研發 - news.nsysu.edu.tw,2026-07-02 07:00,https://news.google.com/rss/articles/CBMickFVX3lxTE4waVRDSkNadHM0VGh2TGVFV0FqZThUOEo2U0R1aVJCMGw1YXBWRndlZUloTXY1Vnd1VERYb3JCNWRGZU1fYU5ELWVkRnVjcE02OGprNXluR3lqN2RxR1NKckdONGNZS19vbUpiN1JjQ3J5QQ?oc=5,news.nsysu.edu.tw (via Google News),研發與創新,影音》中山大學聯手高雄長庚 2600床醫療導入AI研發  news.nsysu.edu.tw
